gisid	bbox
134-10	760652,2960426,760955,2960775
257-61	749801,2963298,750056,2963546
96-142	762117,2955093,762372,2955357
112-126	762958,2961316,763241,2961615
121-97	760735,2959639,761014,2959946
178-27	758323,2967011,758593,2967282
274-2	760867,2953859,761502,2954437
93-55	763287,2957768,763566,2958036
133-56	759681,2960812,759920,2961037
16-30	769070,2958642,769861,2959106
210-46	757955,2965879,758316,2966196
220-72	756054,2962249,756403,2962609
179-43	758726,2967285,759022,2967576
251-77	752109,2962400,752407,2962698
34-55	768043,2960420,768300,2960675
184-155	755923,2970025,756174,2970252
176-28	757856,2965642,758148,2965922
263-69	754202,2964739,754496,2965022
40-255	766403,2958998,766660,2959285
85-89	764950,2960335,765255,2960591
156-41	759539,2964003,759893,2964263
37-60	766988,2960548,767269,2960884
119-9	762011,2958843,762477,2959308
189-102	754987,2970365,755454,2970696
190-198	755251,2969538,755485,2969788
201.5-44	757111,2965849,757395,2966139
247-162	752612,2963476,752955,2963754
258-55	749980,2963364,750295,2963648
66-43	762596,2955377,762881,2955667
181-41	757920,2968058,758210,2968351
173-81	758396,2964094,758698,2964389
117-41	762455,2959642,762770,2959947
--R	768328,2955289,769090,2956661
146A-95	761739,2962857,762020,2963184
251-50	751877,2963325,752176,2963643
160-74	759279,2960988,759535,2961284
195-159	755958,2967787,756216,2968087
114-53	763499,2960719,763800,2960992
201-17	757425,2966505,757723,2966775
35-92	768132,2960988,768491,2961460
167-46	757089,2961761,757392,2962062
80-88	765884,2960586,766171,2960848
251-220	751879,2962606,752196,2962945
196-47	756676,2968392,756996,2968722
175-10	758184,2964690,758501,2964999
190-264	754884,2969422,755161,2969662
167-105	757537,2961615,757798,2961878
181-205	757718,2968210,757986,2968493
85-64	765254,2961037,765527,2961307
112-41	762473,2961301,762748,2961600
201-10	757354,2966774,757651,2967033
87-10	764136,2960114,764502,2960422
36-236	767177,2960970,767441,2961210
119-90	761745,2959283,762055,2959575
53-59	765327,2956587,765706,2956951
25-23	768345,2960121,768598,2960427
191-39	755678,2969827,755915,2970074
26-178	768887,2959598,769151,2959848
33-81	767715,2959973,767965,2960210
220-123	755961,2962247,756245,2962514
190-73	754601,2969533,754921,2969787
86-41	764827,2959554,765139,2959860
98-14	761125,2954879,761421,2955164
221-77	755241,2961992,755559,2962331
168-50	757818,2961441,758098,2961729
87-16	764310,2960091,764625,2960385
101-159	760971,2955913,761301,2956235
108-72	763627,2959556,763878,2959810
205-9	756032,2965791,756337,2966092
79-114	765354,2959831,765602,2960111
214-63	757541,2963560,757798,2963850
238-71	754540,2962987,754913,2963412
40-138	766516,2959138,766775,2959402
96-104	762012,2955264,762280,2955540
235-16	753111,2963400,753477,2963708
220-33	756355,2961817,756596,2962063
207-18	756347,2965079,756630,2965368
252A-124	751302,2962759,751613,2963038
87-48	764264,2960294,764545,2960598
93-129	763389,2957299,763640,2957556
193-155	754620,2968978,754940,2969210
135-83	761519,2960402,761808,2960678
242A-142	753823,2961490,754109,2961829
99-35	760838,2955260,761138,2955570
232-38	754416,2963659,754725,2963926
267D-333	749692,2967986,750161,2968338
34-16	767790,2960467,768021,2960718
188-77	754475,2970644,754777,2970885
267B-201	748642,2968105,748951,2968377
263-44	754421,2965141,754714,2965447
239-34	754716,2962047,755017,2962318
221-13	755192,2961915,755483,2962205
218-13	756884,2962849,757203,2963175
252-9	751176,2961894,751482,2962146
132-73	759913,2959705,760184,2960012
147-39	761081,2963943,761471,2964324
141-94	761772,2962540,762016,2962873
184-18	755607,2970949,755882,2971224
267.4-254	750489,2968233,750969,2968669
84-41	764544,2960811,764812,2961098
207-64	756921,2965321,757278,2965662
82-70	764992,2961275,765238,2961519
256-58	749566,2962660,749859,2962907
146-90	760949,2962891,761276,2963207
234-201	753417,2964518,753706,2964783
174-89	758459,2964502,758767,2964784
110-23	764064,2960944,764360,2961219
242A-109	753789,2961109,754100,2961452
175-68	758697,2965162,759030,2965449
227-112	755907,2964394,756189,2964687
125-10	761468,2957697,761723,2957940
199-83	757384,2967081,757665,2967337
74-1	764861,2957584,765172,2957883
194-10	755147,2967897,755445,2968147
234-111	753491,2964134,753760,2964424
188-130	753966,2970622,754279,2970865
177-79	758766,2966314,759093,2966655
180-64	758310,2968086,758608,2968384
-	761593,2960874,761897,2961126
231-33	755331,2963868,755709,2964233
253-165	750592,2962229,750874,2962487
131-66	760208,2959234,760458,2959469
227-67	756232,2964590,756558,2964920
117-85	762219,2959806,762476,2960072
121-107	760528,2959371,760804,2959622
79-62	765475,2959963,765773,2960242
206-1	755983,2965442,756271,2965712
91-95	764225,2958338,764490,2958613
107-119	763180,2959266,763457,2959534
93-94	762985,2957202,763263,2957473
130-13	760313,2958102,760599,2958359
261-143	754016,2965646,754322,2965931
201.5-59	757366,2966199,757626,2966469
190-35	754500,2969684,754756,2969918
251-256	751960,2961940,752253,2962179
150-10	760374,2964792,760610,2965059
260-55	753951,2965246,754264,2965542
167-100	757573,2961706,757849,2961988
241-13	753967,2961650,754319,2961963
43-77	767080,2957373,767551,2957871
195-167	755492,2968289,755761,2968518
70-90	764514,2957356,764824,2957755
123-63	761527,2958592,761789,2958877
75-123	764450,2957836,764706,2958121
76-85	765274,2959006,765607,2959355
122-13	760520,2958029,760761,2958301
21-21	769237,2960811,769499,2961052
36-157	767372,2960939,767637,2961178
126-3	760534,2957866,760784,2958169
182-57	757443,2968378,757827,2968771
85-39	765140,2960692,765420,2960961
269.5-101	752029,2968964,753316,2969923
174-99	758183,2964477,758455,2964757
233-206	753639,2964610,753913,2964901
273-48	753423,2966301,753762,2966631
121-82	761010,2959012,761278,2959264
15-30	769157,2958159,769716,2958573
116-65	761988,2959905,762329,2960285
177-16	758295,2965951,758608,2966271
183-38	756860,2969542,757159,2969834
23-123	768606,2960383,768865,2960640
183-97	756521,2969246,756906,2969632
85-82	764917,2961055,765168,2961300
108-92	763032,2960088,763285,2960356
42-94	765827,2958635,766067,2958888
236-137	753403,2963629,753777,2963991
194-85	755140,2968065,755437,2968299
115-92	762545,2960049,762870,2960354
202-15	756523,2966932,756782,2967237
189-104	754395,2970179,755457,2970673
139-34	761759,2960908,762008,2961175
123-42	761261,2958188,761515,2958426
36-49	766616,2961005,766880,2961246
90-194	763381,2958267,763743,2958604
97-36	761878,2955617,762161,2955890
111-57	763592,2961568,763854,2961800
135-155	761679,2960820,761930,2961077
193-13	754466,2968799,754786,2969050
121-65	760970,2959038,761245,2959332
147-55	760869,2963856,761190,2964191
131-68	759578,2959512,760371,2959931
89-17	764462,2958358,764716,2958643
265A-47	752943,2966480,753195,2966797
100-9	760489,2955554,760752,2955814
239-50	754671,2961884,754965,2962167
117-5	762013,2959563,762365,2959912
37-15	767045,2960671,767293,2961000
21-53	769261,2960749,769488,2961011
84-86	764635,2961128,764890,2961377
220-170	756120,2961959,756405,2962261
182-51	757058,2968850,757365,2969165
157-39	758816,2963727,759180,2964023
154-63	759281,2965384,759560,2965650
88-36	764652,2958966,764923,2959269
116-46	761619,2959752,761890,2960056
143-7	760622,2962154,760941,2962443
207-73	756861,2965368,757178,2965716
143-15	760614,2962102,760929,2962371
97-133	761848,2955986,762112,2956246
25-121	768592,2960234,768839,2960489
229-36	755733,2964909,756017,2965216
259-8	752253,2963780,752535,2964039
236-143	753768,2963480,754145,2963806
204-132	756093,2966435,756408,2966723
108-62	762806,2960155,763098,2960436
111-46	763498,2961563,763765,2961797
78-19	765991,2959447,766253,2959708
106-117	762904,2957908,763249,2958295
142-21	760883,2962400,761181,2962766
188-70	754472,2970924,754773,2971165
90-109	763853,2958508,764137,2958774
103-87	762243,2956880,762539,2957185
80-5	765453,2960912,765766,2961172
79-106	765328,2960226,765633,2960504
145-45	760449,2962983,760796,2963267
199-32	757322,2967736,757818,2968224
199-8	756936,2967412,757244,2967699
198-17	756805,2967501,757130,2967750
234-118	752974,2963949,753255,2964208
40-203	766561,2959269,766828,2959536
91-117	764033,2958334,764357,2958680
156-36	759544,2964060,759808,2964390
167-45	757084,2961701,757434,2961986
199-36	757093,2967417,757476,2967794
149-61	760514,2963958,760778,2964230
--MD	764232,2954520,765203,2955070
80-32	765660,2960434,765909,2960701
132-21	760156,2960079,760429,2960372
108-63	763668,2959586,763991,2959882
192-92	755812,2968608,756059,2968874
202-18	756685,2966894,756965,2967204
199-22	757268,2967845,757539,2968141
258-44	749974,2963429,750239,2963723
251-245	751823,2962021,752126,2962303
221-37	755798,2961821,756081,2962064
130-167	760327,2958375,760677,2958720
134-57	761047,2960297,761330,2960633
207-20	756402,2965134,756683,2965416
21-49	769325,2960791,769558,2961042
139-26	761795,2961082,762163,2961419
117-25	761966,2959395,762219,2959641
112-104	762340,2960564,762686,2960911
182-2	757056,2969191,757341,2969502
194-87	755125,2968400,755423,2968657
39-96	766616,2959729,766942,2960064
90-162	763206,2958453,763593,2958840
70-9	764611,2957444,764870,2957746
10-31	770068,2958912,770347,2959222
233-91	753983,2964433,754289,2964685
135-33	761237,2960736,761594,2961047
142-143	761289,2962215,761516,2962482
28-46	767906,2958307,768511,2958772
160-54	759376,2960885,759683,2961177
183-14	756245,2970221,756554,2970528
190-126	755166,2969373,755406,2969631
257-45	749635,2963200,749881,2963482
101-99	761447,2956580,761838,2956938
135-131	761602,2960765,761853,2961000
222-22	755196,2962370,755573,2962686
267.4-321	751169,2967973,751821,2968434
199-84	757373,2967064,757653,2967296
97-93	761497,2955509,761850,2955886
--RR	756036,2969981,756881,2970312
---	769428,2961038,769644,2961248
143-16	760608,2962061,760920,2962319
121-40	760804,2959348,761080,2959657
103-48	762202,2957187,762502,2957477
221-53	755494,2961916,755789,2962177
183-78	756584,2969673,756847,2969939
248-87	752697,2963817,752980,2964117
104-36	761656,2956936,761957,2957245
112-144	762959,2961170,763257,2961472
103-97	762431,2957050,762733,2957366
227-18	756126,2964370,756419,2964659
200-31	757801,2967283,758103,2967579
42-57	766114,2958233,766397,2958506
190-256	754775,2969976,755021,2970254
90-159	763632,2958819,763912,2959090
---	764900,2957923,765220,2958210
186-26	754728,2971065,755010,2971362
103-61	762565,2957090,762854,2957349
204-146	756184,2966235,756505,2966535
67-67	763083,2955536,763506,2955979
101-158	760931,2955981,761268,2956329
127-151	760571,2956766,760832,2957060
77-1	765163,2959853,765423,2960126
156-47	759267,2963933,759540,2964277
193-23	754343,2968849,754666,2969094
202-33	756942,2966738,757213,2967048
201-128	757608,2966384,757901,2966649
253-34	750599,2962610,750857,2962902
125-48	762055,2958034,762350,2958300
273-20	753314,2966278,753644,2966604
112-12	762323,2961238,762606,2961531
255-107	750059,2961953,750419,2962221
69-181	763834,2956740,764160,2957051
25-144	768225,2959941,768484,2960197
204-121	755718,2965964,756012,2966235
31-20	767108,2958813,767633,2960166
233-118	754385,2964274,754668,2964531
267.4-221	750924,2968379,751580,2968871
253-52	750732,2962833,750991,2963124
87-30	764244,2960372,764513,2960626
62-40	762445,2954494,763216,2955081
211-51	757607,2965433,757881,2965725
183-61	756749,2969282,757053,2969599
199-11	757010,2967522,757327,2967812
252-153	751475,2962251,751785,2962532
246A-30	752800,2961980,753114,2962237
123-46	761243,2958318,761549,2958579
130-9	760165,2957985,760411,2958241
168-32	758241,2961263,758577,2961576
40-221	766386,2959001,766645,2959294
125-23	761574,2957989,761845,2958295
161-1	759109,2960584,759381,2960871
27-51	769047,2959093,769302,2959394
254-93	750239,2962071,750596,2962339
184-37	755612,2970735,755895,2971011
24-74	769214,2960077,769482,2960384
87-127	764359,2959640,764701,2959934
220-75	756333,2962088,756589,2962355
33-64	767620,2960146,767880,2960379
215-65	757390,2963377,757687,2963658
124-5	761555,2958795,761826,2959080
82-87	765460,2961541,765746,2961802
39-139	767054,2959901,767296,2960200
121-23	761021,2959361,761281,2959656
190-130	755158,2969585,755480,2969839
22-135	768833,2960817,769100,2961125
78-109	765613,2959526,765851,2959777
76-28	765433,2958961,765705,2959250
127-52	760829,2956872,761093,2957133
251-90	751568,2963053,751870,2963366
---	757481,2967644,757751,2967897
198-8	756816,2967949,757142,2968234
190-199	755211,2969537,755453,2969787
267D-294	749912,2967769,750405,2968300
233-208	753647,2964718,753903,2965007
131-42	760405,2959184,760684,2959424
193-25	754340,2968941,754662,2969194
269-132	753122,2970240,753632,2970646
192-82	756154,2968970,756482,2969311
--MD	757016,2961464,757366,2961759
76-89	765429,2958756,765733,2959082
162-48	758740,2960694,759005,2960980
78-86	765928,2960170,766224,2960430
267D-316	749730,2967409,750073,2967705
267B-145	748886,2967932,749196,2968207
255-76	750008,2961924,750262,2962182
10-37	770064,2959099,770394,2959475
155-34	759482,2964661,759740,2964895
110-88	763719,2960469,763995,2960765
247-181	752749,2963032,753074,2963320
246A-70	753149,2961951,753354,2962172
139-50	762071,2961229,762367,2961518
121-130	760860,2959300,761169,2959594
149-114	760412,2964147,760676,2964403
86-97	764887,2959833,765200,2960122
235-74	753369,2962407,753731,2962739
189-10	754718,2970675,755032,2970917
80-91	765981,2960598,766248,2960902
166-68	757282,2961136,757545,2961405
220-53	756095,2962658,756401,2962972
222-25	755690,2962467,756017,2962766
91-63	764402,2957636,764647,2957967
141-56	762214,2962667,762485,2962936
104-92	762062,2957546,762355,2957849
150-96	760268,2964644,760524,2964909
26-160	768437,2959379,768690,2959612
203A-8	755404,2967200,755710,2967517
201-121	757546,2966817,757865,2967143
115-64	762147,2960201,762446,2960519
237-76	753993,2963551,754372,2963814
190-25	755365,2969929,755601,2970186
190-71	754604,2969432,754925,2969686
267B-184	748756,2968242,749063,2968503
232-115	754457,2963228,754799,2963728
199-175	757189,2967533,757540,2967874
248-79	752263,2963919,752986,2964735
87-143	764180,2959797,764468,2960070
22-53	769110,2960917,769351,2961180
249-16	752413,2963057,752753,2963354
255-44	749377,2961951,749679,2962210
127-137	760737,2956789,761016,2957072
17-88	769310,2959194,769581,2959443
263-53	754762,2964920,755090,2965239
122-184	760492,2958305,761217,2958861
190-37	754434,2969679,754668,2969948
233-110	753736,2964312,754020,2964585
25-136	768183,2959997,768436,2960223
232-24	754753,2964037,755009,2964333
96-139	762157,2955057,762408,2955313
238-9	754946,2962680,755296,2963052
108-9	763078,2960002,763333,2960268
252-169	751156,2962040,751524,2962335
190-262	755335,2969691,755598,2969942
175-82	758441,2964772,758707,2965050
1A-169	772397,2960426,772653,2960810
122-196	760463,2958021,760701,2958325
273-47	753196,2966404,753746,2966945
145-29	760687,2962654,761033,2962963
36-108	766873,2961099,767111,2961350
97-67	762043,2956210,762384,2956550
263-123	753921,2965004,754225,2965294
105-50	762482,2957897,762815,2958230
223-69	755303,2963070,755610,2963397
97-135	761749,2955580,762128,2955938
90-96	763910,2958803,764339,2959212
233-75	754284,2964145,754552,2964455
140-109	761617,2962034,761881,2962369
262-29	754807,2965638,755080,2965937
